videoID,category,views,length
ofZww-HCJSo,Comedy,2810883,127
r6tlw-oPDBM,Comedy,2788033,86
Q5im0Ssyyus,Comedy,2709425,225
nojWJ6-XmeQ,Comedy,2667887,45
b89CnP0Iq30,Comedy,2665332,42
BIeIWkK0t4s,Comedy,2641924,360
Gw4bQKiLkQ4,Comedy,2627404,190
z34JYwNGFtw,Comedy,2626999,217
SBirGHHzXOM,Comedy,2437954,1468
co9qBme4Dgk,Comedy,2427970,160
PTU2He2BIc0,Comedy,2421139,135
bhcA4Ry65FU,Comedy,2364657,129
JMvMzQ4Vu-8,Comedy,2359461,204
SDeWJqKx3Y0,Comedy,2284906,67
_3y_hX0noR0,Comedy,2263019,172
agEjzQLiuGA,Comedy,2250883,66
BHJ9eUkjWgY,Comedy,2238204,98
UjXi6X-moxE,Comedy,2235680,100
lN5fSkcVzuY,Comedy,2176829,1416
n23_IsU4Uic,Comedy,2164403,22
mCwKbUVyHLY,Comedy,2163340,165
vFP-MktgOKU,Comedy,2151182,1468
bPx266rGw3E,Comedy,2147935,99
BgoOihBb78w,Comedy,2115525,169
m7dnGo_2tZA,Comedy,2083222,86
321f_e8Ap0M,Comedy,2053015,79
YhEl6HdfqWM,Comedy,2019428,308
w-qO8Oywpas,Comedy,1979430,247
pc9y5ayeeb4,Comedy,1959500,143
0I0WfnhVs2s,Comedy,1953577,30
xCIF6JF1O5U,Comedy,1934276,30
mim90zCi34Y,Comedy,1872512,159
-TSWaKWiAhY,Comedy,1847109,146
gKLU1BBTe40,Comedy,1842004,344
B_POuAuoBWY,Comedy,1827151,231
uE-F1yMv8nY,Comedy,1805044,230
vvTU0rlhBVw,Comedy,1792999,284
GN8I2SyEiHw,Comedy,1753869,146
j97V-aMjeTk,Comedy,1742266,116
oc4oP_ITqMc,Comedy,1713532,44
0hderubQMDw,Comedy,1710477,25
cvHeVdlZQPs,Comedy,1707028,187
ogIqayRDr4w,Comedy,1683663,362
mHRqe9L56t4,Comedy,1682363,179
7XkX3BVGSt8,Comedy,1676694,56
_IXd7IZkvbs,Comedy,1655525,37
N2rZxCrb7iU,Comedy,1642687,295
iV6DQuEh4UQ,Comedy,1616157,72
EFKaLfs68Sk,Comedy,1613197,45
pxkcZsSYzn0,Comedy,1588669,81
gbD2gXtNX94,Comedy,1564988,120
bhTeYaqIe3E,Comedy,1562286,29
JdxkVQy7QLM,Comedy,1559639,314
m4l2UUueH5Q,Comedy,1553633,35
Lpt6iwwyTW8,Comedy,1544980,174
2Ote_x2C6CE,Comedy,1516423,179
C0f2dHJ6A18,Comedy,1510728,124
AYxu_MQSTTY,Comedy,1500655,283
DFBHsuruA2c,Comedy,1487775,81
3zvTRQr7ns8,Comedy,1480754,500
nYQ8Ia0lHiw,Comedy,1468662,215
05hDiLTDkFo,Comedy,1455804,248
HCkYfYa8ePI,Comedy,1454131,546
owvO640ODwA,Comedy,1447840,131
MAglt4KPIH4,Comedy,1447415,162
x9YTxff3pHU,Comedy,1445162,367
tdAjGXFJw3s,Comedy,1442213,38
QGQMyN75LFQ,Comedy,1430437,360
WkjbZZ8vqfU,Comedy,1429351,36
1dmVU08zVpA,Entertainment,16087899,165
RB-wUgnyGv0,Entertainment,15712924,159
vr3x_RRJdd4,Entertainment,10786529,219
lsO6D1rwrKc,Entertainment,10334975,164
ixsZy2425eY,Entertainment,7456875,162
RUCZJVJ_M8o,Entertainment,6952767,11
tFXLbXyXy6M,Entertainment,5810013,199
7uwCEnDgd5o,Entertainment,5280504,272
2KrdBUFeFtY,Entertainment,4676195,105
vD4OnHCRd_4,Entertainment,4230610,269
8uwuLxrv8jY,Entertainment,4226517,131
3gg5LOd_Zus,Entertainment,4200257,207
ZpucUihZ4HE,Entertainment,4156380,200
5bry10DU8bo,Entertainment,4085011,270
lFf-kW1E0Tc,Entertainment,4071966,80
qg_8HIwRyrE,Entertainment,3592369,276
o4x-VW_rCSE,Entertainment,3534116,74
xWGU3mpfRoM,Entertainment,3236894,233
